id,City for Azimuth,location,hive,camera,month,day,year,hour,minute,hour,min,segment,dance found?,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,azimuth,heading.degrees,heading.radians,flag
,,FSR,1,,,23,2016,,,12,14,Camera1_072316_12.14_for_60sec,,,3,3,4,8,812,853,830.5,12.739,391,444,418.625,19.093,0.667,0.868,0.759,0.092,65,118,83.25,17.597,34.176,41.773,37.364,3.194,0,41.773,18.682,20.081,NA,NA,NA,NA,34.176,41.773,37.364,3.194,41.959,62.597,49.917,8.911,-142.815,-104.036,-122.374,18.149,NA,NA,NA,NA,,,,,130.9,130.9,2.284635991,1
,,FSR,1,,,23,2016,,,12,19,Camera1_072316_12.19_for_60sec,,,1,1,4,8,858,972,923.875,41.718,737,808,777.5,24.767,1.201,1.935,1.618,0.346,75,120,89.5,14.422,49.041,54.818,52.159,2.374,0,54.818,26.079,27.923,NA,NA,NA,NA,49.041,54.818,52.159,2.374,27.048,40.826,33.231,6.251,106.587,145.098,128.368,16.126,NA,NA,NA,NA,,,,,133,133,2.321287905,1
,,FSR,1,,,23,2016,,,12,24,Camera1_072316_12.24_for_60sec,,,1,1,4,8,890.667,956,935.5,22.817,658.667,732,690.167,26.088,0.467,0.667,0.526,0.096,65,121,95.5,16.716,33.333,49.351,38.772,7.29,0,49.351,19.386,21.267,NA,NA,NA,NA,33.333,49.351,38.772,7.29,51.948,105.647,76.087,22.206,-147.995,163.74,-47.106,142.48,NA,NA,NA,NA,,,,,135.2,135.2,2.359685149,1
,,FSR,1,,,23,2016,,,12,24,Camera1_072316_12.24_for_60sec,,,2,2,4,8,1305.333,1373.333,1329.333,26.533,304,420,344.667,37.55,0.634,1.335,0.901,0.309,83,156,104.5,29.621,20,66.999,42.127,19.64,0,66.999,21.064,25.93,NA,NA,NA,NA,20,66.999,42.127,19.64,27.245,71.785,47.297,18.833,-90,-84.289,-87.312,3.116,NA,NA,NA,NA,,,,,135.2,135.2,2.359685149,1
,,FSR,1,,,23,2016,,,12,29,Camera1_072316_12.29_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.4,137.4,2.398082392,1
,,FSR,1,,,23,2016,,,12,34,Camera1_072316_12.34_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.8,139.8,2.439970294,1
,,FSR,1,,,23,2016,,,12,39,Camera1_072316_12.39_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2,142.2,2.481858196,1
,,FSR,1,,,23,2016,,,12,44,Camera1_072316_12.44_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.8,144.8,2.527236757,1
,,FSR,1,,,23,2016,,,12,49,Camera1_072316_12.49_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.5,147.5,2.574360647,1
,,FSR,1,,,23,2016,,,12,54,Camera1_072316_12.54_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.2,150.2,2.621484536,1
,,FSR,1,,,23,2016,,,12,59,Camera1_072316_12.59_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.1,153.1,2.672099085,1
,,FSR,1,,,23,2016,,,13,4,Camera1_072316_13.04_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.1,156.1,2.724458962,1
,,FSR,1,,,23,2016,,,13,9,Camera1_072316_13.09_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.2,159.2,2.778564169,1
